  Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,Sma,std, ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand  ,Pgrid, Pbc, Pbd, Price_30_min, SoC 
 10, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.743744,0.000000,165.124054,  ,10, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 59.009167,  ,10, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 78.685356,  ,10, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 56.419529,  ,10, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 91.841171,  ,10, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 81.816978,  ,10, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 55.340523 
 11, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.618118,0.000000,165.124054,  ,11, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 58.622040,  ,11, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 78.300606,  ,11, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 56.016304,  ,11, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 91.451378,  ,11, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 81.431702,  ,11, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 54.951180 
 12, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.492493,0.000000,165.124054,  ,12, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 58.234913,  ,12, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 77.915855,  ,12, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 55.613079,  ,12, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 91.061584,  ,12, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 81.046425,  ,12, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 54.561836 
 13, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.366867,0.000000,165.124054,  ,13, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 57.847786,  ,13, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 77.531105,  ,13, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 55.209854,  ,13, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 90.671791,  ,13, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 80.661148,  ,13, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 54.172493 
 14, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.241241,0.000000,165.124054,  ,14, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 57.460659,  ,14, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 77.146355,  ,14, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 54.806629,  ,14, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 90.281998,  ,14, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 80.275871,  ,14, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 53.783150 
 15, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.115616,0.000000,165.124054,  ,15, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 57.073532,  ,15, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 76.761604,  ,15, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 54.403404,  ,15, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 89.892204,  ,15, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 79.890594,  ,15, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 53.393806 
 16, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 87.989990,0.000000,165.124054,  ,16, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 56.686405,  ,16, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 76.376854,  ,16, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 54.000179,  ,16, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 89.502411,  ,16, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 79.505318,  ,16, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 53.004463 
 17, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 87.864365,0.000000,165.124054,  ,17, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 56.299278,  ,17, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 75.992104,  ,17, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 53.596954,  ,17, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 89.112617,  ,17, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 79.120041,  ,17, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 52.615120 
 18, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 87.738739,0.000000,165.124054,  ,18, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 55.912151,  ,18, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 75.607353,  ,18, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 53.193729,  ,18, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 88.722824,  ,18, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 78.734764,  ,18, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 52.225777 
 19, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 87.613113,0.000000,165.124054,  ,19, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 55.525024,  ,19, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 75.222603,  ,19, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 52.790504,  ,19, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 88.333031,  ,19, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 78.349487,  ,19, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 51.836433 
 20, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.574638,0.000000,165.124054,  ,20, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 55.137897,  ,20, 240.705093, 130.000000, 0.000000, 110.705093, 0.001620, 74.925011,  ,20, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 52.387280,  ,20, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 87.943237,  ,20, 240.903107, 130.000000, 0.000000, 110.903107, 0.001281, 78.051361,  ,20, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 51.447090 
 21, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.536163,0.000000,165.124054,  ,21, 209.169403, 130.000000, 0.000000, 79.169403, 0.001235, 54.925076,  ,21, 240.705093, 130.000000, 0.000000, 110.705093, 0.001620, 74.627419,  ,21, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 51.984055,  ,21, 242.581406, 130.000000, 0.000000, 112.581406, 0.001281, 87.640602,  ,21, 240.903107, 130.000000, 0.000000, 110.903107, 0.001281, 77.753235,  ,21, 242.414093, 130.000000, 0.000000, 112.414093, 0.001242, 51.144901 
 22, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.497688,0.000000,165.124054,  ,22, 209.169403, 130.000000, 0.000000, 79.169403, 0.001235, 54.712254,  ,22, 240.705093, 130.000000, 0.000000, 110.705093, 0.001620, 74.329826,  ,22, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 51.580830,  ,22, 242.581406, 130.000000, 0.000000, 112.581406, 0.001281, 87.337967,  ,22, 208.482193, 130.000000, 0.000000, 78.482193, 0.001281, 77.542259,  ,22, 242.414093, 130.000000, 0.000000, 112.414093, 0.001242, 50.842712 
 23, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.459213,0.000000,165.124054,  ,23, 209.169403, 130.000000, 0.000000, 79.169403, 0.001235, 54.499432,  ,23, 240.705093, 130.000000, 0.000000, 110.705093, 0.001620, 74.032234,  ,23, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 51.177605,  ,23, 242.581406, 130.000000, 0.000000, 112.581406, 0.001281, 87.035332,  ,23, 208.482193, 130.000000, 0.000000, 78.482193, 0.001281, 77.331284,  ,23, 242.414093, 130.000000, 0.000000, 112.414093, 0.001242, 50.540524 
 24, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.420738,0.000000,165.124054,  ,24, 175.200195, 130.000000, 0.000000, 45.200195, 0.001235, 54.377926,  ,24, 240.705093, 130.000000, 0.000000, 110.705093, 0.001620, 73.734642,  ,24, 212.673004, 130.000000, 0.000000, 82.673004, 0.002263, 50.955364,  ,24, 242.581406, 130.000000, 0.000000, 112.581406, 0.001281, 86.732697,  ,24, 208.482193, 130.000000, 0.000000, 78.482193, 0.001281, 77.120308,  ,24, 242.414093, 130.000000, 0.000000, 112.414093, 0.001242, 50.238335 
 25, 144.312195, 130.000000, 0.000000, 14.312195, 0.001624, 87.382263,0.000000,165.124054,  ,25, 175.200195, 130.000000, 0.000000, 45.200195, 0.001235, 54.256420,  ,25, 172.766693, 130.000000, 0.000000, 42.766693, 0.001620, 73.619675,  ,25, 212.673004, 130.000000, 0.000000, 82.673004, 0.002263, 50.733124,  ,25, 208.612198, 130.000000, 0.000000, 78.612198, 0.001281, 86.521370,  ,25, 208.482193, 130.000000, 0.000000, 78.482193, 0.001281, 76.909332,  ,25, 174.475693, 130.000000, 0.000000, 44.475693, 0.001242, 50.118778 
 26, 110.343002, 110.343002, 0.000000, 0.000000, 0.001624, 87.382263,0.000000,165.124054,  ,26, 141.231003, 130.000000, 0.000000, 11.231003, 0.001235, 54.226231,  ,26, 138.797501, 130.000000, 0.000000, 8.797501, 0.001620, 73.596024,  ,26, 212.673004, 130.000000, 0.000000, 82.673004, 0.002263, 50.510883,  ,26, 174.643005, 130.000000, 0.000000, 44.643005, 0.001281, 86.401360,  ,26, 174.513000, 130.000000, 0.000000, 44.513000, 0.001281, 76.789673,  ,26, 140.506500, 130.000000, 0.000000, 10.506500, 0.001242, 50.090534 
 27, 110.343002, 110.343002, 0.000000, 0.000000, 0.001624, 87.382263,0.000000,165.124054,  ,27, 106.231003, 106.231003, 0.000000, 0.000000, 0.001235, 54.226231,  ,27, 138.797501, 130.000000, 0.000000, 8.797501, 0.001620, 73.572372,  ,27, 212.673004, 130.000000, 0.000000, 82.673004, 0.002263, 50.288643,  ,27, 174.643005, 130.000000, 0.000000, 44.643005, 0.001281, 86.281349,  ,27, 139.513000, 130.000000, 0.000000, 9.513000, 0.001281, 76.764099,  ,27, 140.506500, 130.000000, 0.000000, 10.506500, 0.001242, 50.062290 
 28, 132.634003, 130.000000, 0.000000, 2.634003, 0.001624, 87.375183,0.000000,165.124054,  ,28, 106.231003, 106.231003, 0.000000, 0.000000, 0.001235, 54.226231,  ,28, 103.797501, 103.797501, 0.000000, 0.000000, 0.001620, 73.572372,  ,28, 142.673004, 130.000000, 0.000000, 12.673004, 0.002263, 50.254574,  ,28, 104.642998, 104.642998, 0.000000, 0.000000, 0.001281, 86.281349,  ,28, 104.513000, 104.513000, 0.000000, 0.000000, 0.001281, 76.764099,  ,28, 105.506500, 105.506500, 0.000000, 0.000000, 0.001242, 50.062290 
 29, 137.434006, 130.000000, 0.000000, 7.434006, 0.001624, 87.355202,0.000000,165.124054,  ,29, 106.231003, 106.231003, 0.000000, 0.000000, 0.001235, 54.226231,  ,29, 103.797501, 103.797501, 0.000000, 0.000000, 0.001620, 73.572372,  ,29, 107.672997, 107.672997, 0.000000, 0.000000, 0.002263, 50.254574,  ,29, 104.642998, 104.642998, 0.000000, 0.000000, 0.001281, 86.281349,  ,29, 104.513000, 104.513000, 0.000000, 0.000000, 0.001281, 76.764099,  ,29, 105.506500, 105.506500, 0.000000, 0.000000, 0.001242, 50.062290 
